R;G;B
170;175;150
169;173;149
167;172;149
167;172;149
167;172;148
169;174;150
171;176;150
172;177;151
171;175;150
170;175;150
168;174;150
170;174;150
170;174;150
169;174;150
168;173;150
167;172;149
169;173;150
170;174;150
170;174;150
172;176;151
174;178;153
175;180;154
180;185;158
182;187;160
182;187;160
183;189;160
180;187;159
179;185;158
175;181;155
172;178;152
171;177;152
170;175;150
169;174;150
170;175;150
168;173;150
168;173;150
168;173;150
165;170;147
166;171;148
165;170;147
165;170;147
168;173;149
169;175;150
171;176;150
172;177;152
175;180;154
174;179;153
174;179;153
173;179;152
173;179;152
173;179;152
173;179;153
173;179;153
173;179;153
174;179;153
174;179;153
173;179;153
173;179;153
173;179;153
175;180;154
175;181;154
177;182;155
178;184;156
179;184;156
180;185;157
181;187;159
182;188;160
182;188;160
185;191;162
185;191;162
187;194;163
186;194;163
186;193;164
186;192;162
185;191;161
183;190;160
183;190;160
184;190;160
183;189;160
184;190;161
183;189;160
182;188;159
182;188;159
181;187;159
181;187;159
180;186;158
179;185;157
178;184;156
178;184;156
179;184;157
179;184;157
179;185;157
180;185;158
179;184;157
178;183;156
177;182;156
175;181;155
175;180;154
174;180;154
174;180;154
174;179;154
175;180;154
175;180;154
176;181;155
175;181;155
176;182;156
177;183;156
177;183;155
177;183;156
179;185;157
180;187;158
181;187;158
181;188;159
181;187;158
181;187;158
180;186;158
179;185;157
179;185;157
179;184;157
179;185;158
180;185;157
180;185;158
179;185;157
179;185;159
180;186;159
180;186;158
180;186;158
180;186;159
180;186;158
180;186;158
181;188;159
182;189;160
183;190;161
183;190;160
184;190;160
181;187;159
179;185;157
179;185;157
179;185;157
180;187;158
181;187;158
180;187;158
180;186;158
181;187;159
180;186;158
179;186;158
179;186;158
180;187;158
180;187;158
181;188;159
181;188;159
182;189;159
183;190;160
183;189;160
183;189;160
183;190;161
183;189;160
181;187;159
181;187;159
181;186;158
181;187;159
180;186;158
180;186;157
180;186;158
178;184;156
178;184;156
178;184;156
178;184;157
177;183;156
176;182;155
176;182;155
176;181;155
175;181;154
175;181;154
174;180;154
174;180;154
174;180;154
174;180;153
174;181;154
174;181;154
174;179;153
173;179;153
174;179;153
173;179;153
174;180;153
174;180;153
174;180;153
173;179;153
173;178;152
173;179;153
172;178;152
173;178;153
172;177;151
172;177;152
172;177;151
171;177;151
171;176;151
170;176;151
170;175;150
169;174;150
168;174;150
167;172;149
166;171;148
165;170;147
165;170;147
164;169;147
162;167;145
162;167;145
161;166;144
160;165;144
160;165;144
160;164;143
159;163;143
159;163;143
158;163;143
160;163;143
160;163;143
160;163;143
160;164;144
160;164;143
160;164;144
162;165;145
161;165;144
161;165;145
160;164;144
160;164;144
159;162;142
156;160;141
154;158;139
153;157;138
150;154;136
148;151;133
145;148;131
143;149;129
143;149;129
140;143;126
137;140;124
134;137;121
129;130;116
128;130;116
127;128;114
127;128;114
125;126;113
123;125;112
124;125;112
122;124;111
122;123;110
121;122;110
120;121;109
120;121;109
118;119;107
116;117;106
116;117;106
116;117;106
114;114;104
112;112;102
112;112;102
110;110;101
108;108;100
107;107;99
104;103;96
103;103;95
102;102;95
102;101;95
101;100;94
100;100;93
100;100;93
100;100;93
100;100;93
100;100;93
100;100;94
100;100;93
100;100;93
100;100;93
100;100;93
100;100;93
100;99;92
99;99;92
100;99;92
98;98;91
99;99;92
98;97;90
98;98;91
99;97;90
97;96;89
97;96;89
97;96;90
97;96;89
97;96;89
98;97;91
99;98;91
99;98;91
100;99;92
100;100;93
100;100;93
101;100;94
101;100;94
102;102;95
102;102;95
103;103;96
104;104;97
104;104;97
105;105;98
106;106;98
106;106;99
