R;G;B
155;103;50
155;102;50
154;101;50
157;104;50
157;104;50
159;105;50
160;106;51
167;111;52
163;109;51
162;109;50
161;107;51
161;107;51
161;107;51
159;105;50
159;105;50
160;106;51
160;106;51
157;104;50
158;105;50
158;105;50
159;106;50
159;106;50
159;104;51
156;103;50
156;104;50
156;104;50
155;103;50
152;101;49
152;100;49
151;100;50
151;100;49
150;100;49
151;100;49
151;100;49
151;100;49
153;100;50
153;101;50
159;105;51
161;106;51
162;107;52
163;108;51
167;111;53
167;111;52
167;111;54
165;109;52
163;108;51
162;108;51
161;107;51
162;107;51
163;108;52
161;106;51
159;105;51
157;103;50
156;103;50
156;102;50
155;102;50
155;102;50
156;102;50
156;103;50
156;103;50
156;103;50
155;102;50
156;103;50
158;104;50
158;104;50
158;105;50
158;104;50
158;105;50
158;105;50
159;105;50
158;105;50
159;106;50
161;107;51
161;107;51
161;107;51
161;107;52
160;106;50
160;106;50
160;106;50
159;105;50
159;105;50
160;106;51
160;106;51
160;107;50
161;107;51
161;107;51
160;106;50
160;106;50
159;106;50
160;107;50
160;107;51
160;106;50
160;106;50
160;106;50
160;106;50
160;106;51
161;107;51
161;107;51
161;107;51
161;107;50
162;108;51
162;108;51
163;108;52
162;108;52
161;107;51
159;105;50
159;105;50
158;104;50
158;104;50
158;105;51
157;104;50
158;105;50
158;105;50
160;105;50
158;104;50
159;106;52
160;106;51
161;107;51
162;107;51
163;108;51
163;108;51
165;109;52
165;110;53
166;110;52
166;110;52
165;110;52
165;110;52
164;110;52
164;110;53
163;109;52
163;109;52
163;108;52
162;107;51
162;108;51
160;107;50
160;106;50
161;107;51
161;108;52
163;109;53
163;109;52
163;109;52
164;109;52
163;110;52
162;108;51
160;107;51
157;105;50
155;103;50
154;102;50
154;103;50
153;102;50
153;102;50
155;103;50
156;104;50
158;105;51
158;106;51
160;107;51
161;107;50
161;107;50
161;107;50
159;106;50
156;103;50
154;101;49
153;101;50
151;101;49
153;102;50
153;102;50
154;103;50
154;102;50
154;102;50
158;104;50
158;104;50
160;105;51
160;105;51
162;107;53
162;108;52
163;108;52
162;108;52
162;108;52
162;108;51
162;108;51
163;108;51
163;109;51
163;109;52
164;109;51
165;111;52
166;111;52
168;112;53
168;112;53
167;112;54
167;111;54
167;111;54
167;111;53
167;111;53
168;112;54
167;111;53
167;111;53
165;110;52
163;109;51
161;107;51
160;106;51
160;106;51
158;105;51
157;104;51
156;103;50
156;102;50
155;102;50
156;103;50
155;102;50
156;104;50
156;104;50
157;105;50
158;106;51
159;106;51
160;106;52
162;108;53
163;108;52
163;108;53
163;108;51
162;107;51
160;106;50
160;107;51
160;106;51
161;107;51
161;108;51
161;108;51
159;107;51
158;105;50
158;105;50
155;103;50
154;103;50
154;103;50
154;103;50
154;103;50
154;103;50
153;102;49
155;104;50
157;105;50
157;104;50
156;103;50
157;103;50
157;103;50
158;104;50
159;105;50
160;107;51
159;106;50
159;106;51
159;106;51
159;105;51
158;105;50
157;105;50
157;105;50
158;106;51
158;105;50
159;107;51
160;107;50
165;110;52
166;111;52
167;111;53
169;112;53
170;113;54
171;115;55
173;116;56
173;115;56
168;113;53
167;112;53
166;111;52
166;112;52
166;112;52
167;112;53
166;111;52
166;111;52
166;111;52
167;111;53
167;111;53
167;111;54
167;112;53
167;112;53
166;111;52
166;111;52
166;111;52
166;111;52
165;110;51
162;108;51
159;106;50
158;105;50
158;105;50
158;106;50
157;105;50
157;105;50
158;104;50
157;104;50
157;105;50
158;106;50
158;105;50
158;105;50
158;105;50
161;106;50
163;108;51
166;109;52
167;110;53
165;110;52
165;111;52
164;109;51
166;110;52
168;112;54
169;113;53
168;112;52
168;112;52
171;114;53
173;115;55
175;117;55
177;119;56
178;120;56
177;118;56
175;116;55
172;114;53
170;113;53
170;112;53
169;112;53
170;113;54
170;113;54
171;114;56
169;113;54
165;110;52
164;109;51
164;108;52
165;109;53
163;108;51
162;107;51
160;106;51
157;104;50
155;102;50
154;101;50
152;100;49
151;100;49
151;100;49
152;100;49
152;100;49
152;100;49
153;101;50
155;103;50
157;104;50
160;106;51
162;107;51
164;108;51
164;108;51
164;108;51
165;108;52
165;109;53
165;109;53
164;108;52
164;108;51
168;112;53
169;113;53
170;113;54
171;113;54
171;113;54
170;112;53
173;115;55
174;115;55
175;115;55
173;114;54
170;113;53
167;110;51
166;110;52
165;110;52
165;110;52
166;110;52
168;111;53
167;111;53
167;111;53
167;111;53
166;110;52
164;108;51
161;107;51
159;106;51
158;105;51
156;102;50
155;102;50
154;102;50
154;102;50
155;103;50
155;103;50
157;103;50
157;103;50
156;103;50
155;102;50
152;100;50
150;100;49
150;99;49
150;99;49
150;99;48
151;100;49
153;101;49
155;103;50
163;107;51
165;109;52
167;111;53
168;112;53
168;113;53
171;114;54
175;116;56
178;118;56
178;118;54
178;119;55
179;119;56
177;118;55
174;115;54
172;114;54
169;112;53
167;111;52
167;110;52
168;111;53
169;112;54
168;111;53
167;111;53
167;110;53
169;111;53
169;111;53
172;114;55
174;116;55
174;116;55
173;115;54
173;115;54
172;114;54
174;115;55
172;114;55
172;114;55
170;112;53
165;109;52
164;108;52
164;108;52
162;106;51
161;106;50
161;107;51
163;107;52
164;108;52
165;109;52
166;110;52
166;110;52
167;111;52
168;111;51
167;110;51
170;112;54
170;112;54
170;112;54
170;113;53
169;112;53
168;111;52
166;110;51
167;110;52
167;110;51
169;111;53
170;113;53
171;113;53
171;113;52
172;114;54
170;113;53
170;113;53
171;112;53
171;112;53
171;113;54
170;113;54
169;112;53
168;112;53
167;111;52
167;111;52
169;112;53
169;112;54
169;112;53
168;112;53
168;112;53
167;110;52
167;110;52
166;110;52
167;111;52
168;112;53
169;112;53
168;113;52
168;112;52
167;110;51
166;109;51
166;109;51
165;108;51
163;108;51
161;106;51
158;104;50
156;103;50
156;103;50
157;103;50
156;103;50
157;104;50
158;105;50
158;104;50
160;106;51
161;106;50
164;109;52
163;108;51
162;107;50
163;108;52
166;110;53
166;110;52
166;110;52
166;110;52
168;111;52
165;110;51
166;111;52
166;111;52
168;113;52
169;113;52
170;113;52
170;113;52
168;112;51
168;112;52
168;112;52
168;112;52
168;111;52
167;110;52
166;110;52
164;108;52
162;107;51
159;106;50
157;104;50
155;102;49
156;103;50
156;103;50
158;104;51
160;106;52
160;106;51
161;107;51
171;113;54
171;113;54
168;111;53
164;109;51
166;110;52
170;113;54
171;113;54
171;113;54
172;113;54
175;115;55
176;116;55
172;114;54
170;112;52
170;113;53
172;114;55
169;112;53
168;111;53
168;111;53
168;110;53
168;110;53
169;112;53
170;113;53
170;114;52
170;114;52
170;114;53
170;113;52
170;113;52
170;113;52
170;113;53
171;113;53
172;113;54
170;113;53
169;112;53
168;112;53
168;111;53
165;109;52
166;109;53
166;109;53
167;111;53
168;112;53
168;112;53
170;113;53
170;113;53
169;112;53
167;111;51
167;111;51
167;111;51
167;110;51
167;110;51
168;112;52
170;112;53
172;114;54
173;114;54
173;115;55
173;115;55
172;114;54
171;114;53
172;115;54
172;115;54
174;116;55
174;116;55
172;115;54
167;110;52
167;110;52
166;110;51
167;111;52
167;111;52
167;111;52
169;112;53
169;112;53
170;112;53
172;113;54
174;115;54
175;116;55
175;116;55
174;115;54
172;114;53
171;114;53
171;114;53
171;114;54
169;112;53
166;111;52
164;109;50
163;109;50
163;109;50
162;107;50
161;106;51
160;105;50
160;105;51
160;106;51
161;107;51
161;107;51
162;108;51
163;109;52
163;109;52
163;108;52
162;108;52
165;110;53
165;110;53
166;111;52
174;116;54
174;116;54
173;116;54
172;116;54
172;116;54
170;113;54
169;112;54
168;112;53
168;112;53
174;117;55
174;117;54
174;117;54
175;118;55
175;118;55
173;115;54
172;116;54
172;116;54
172;116;54
174;116;55
174;116;55
170;113;53
168;112;53
169;113;53
170;114;53
172;115;55
172;113;54
172;114;55
172;114;55
172;114;53
173;115;54
172;115;54
167;111;54
167;111;54
168;111;54
168;111;54
168;111;54
