R;G;B
36;111;128
35;111;127
35;110;127
35;110;126
35;110;126
33;108;124
34;106;124
34;106;123
34;106;123
34;106;123
35;109;126
35;110;127
35;111;127
36;111;128
36;111;128
35;110;126
34;107;124
34;107;123
33;105;122
33;100;118
33;100;117
32;99;115
32;99;115
31;99;114
33;103;119
33;104;120
34;105;121
33;105;122
35;111;127
35;111;127
35;111;127
36;113;128
36;114;129
35;111;127
35;110;127
34;110;127
34;109;125
34;109;125
34;109;125
35;109;125
37;114;130
37;114;130
37;113;128
36;112;128
34;106;123
34;106;122
34;106;122
34;106;121
34;106;121
35;106;123
34;107;123
34;107;123
34;106;122
34;106;123
34;107;123
34;107;123
34;106;122
34;106;122
32;101;118
33;102;119
33;102;119
33;103;119
31;100;115
30;98;114
31;99;115
30;99;114
31;100;115
33;101;118
33;101;118
33;101;118
33;102;119
33;103;119
34;107;123
34;106;122
34;106;122
35;107;122
34;106;122
34;106;122
34;107;122
34;107;122
34;108;123
35;107;122
34;107;122
34;107;122
35;107;123
34;107;122
35;107;123
35;108;124
35;108;124
35;108;124
34;106;122
33;105;121
33;105;121
34;106;121
34;106;121
34;107;122
34;107;123
35;107;123
35;108;123
34;107;123
34;109;124
36;111;126
35;109;125
35;109;124
35;108;124
34;109;124
34;108;123
34;108;123
34;108;123
34;108;123
34;107;123
34;107;123
35;107;124
34;106;123
34;108;124
33;106;122
34;107;123
34;107;123
34;108;124
34;108;124
35;108;124
35;109;125
35;110;126
35;110;126
35;110;126
35;110;126
35;109;126
35;109;125
35;109;125
34;108;124
34;107;123
34;106;121
34;106;121
34;105;121
33;105;122
33;105;121
34;105;120
34;105;120
34;105;121
35;105;121
34;105;121
34;105;121
33;103;119
33;103;119
33;103;119
34;104;121
34;105;122
34;106;122
33;106;122
33;106;122
34;106;123
35;109;125
35;110;126
35;110;126
36;111;127
36;112;129
36;113;129
36;112;128
36;111;127
36;111;127
35;110;125
35;110;125
35;111;126
35;111;126
35;111;125
35;110;124
35;110;124
35;110;124
35;110;125
35;110;125
35;110;125
35;110;126
35;111;126
35;111;126
36;111;127
36;112;127
36;112;127
36;112;127
36;112;127
36;112;127
36;113;128
36;114;129
36;114;129
36;114;128
35;113;127
36;113;127
35;111;125
35;111;126
35;111;126
36;112;127
35;111;126
35;110;125
35;110;125
34;109;125
34;109;125
34;108;123
35;108;124
34;108;124
35;108;124
35;108;124
34;108;124
34;108;124
34;108;124
35;108;123
34;108;123
34;108;123
34;108;122
35;108;123
35;108;123
35;109;125
36;111;127
36;112;128
36;112;128
36;112;128
36;111;127
36;110;126
35;108;124
35;108;123
35;108;123
34;108;123
34;107;123
34;107;123
33;106;121
33;105;120
33;105;120
33;105;120
33;104;120
33;104;120
34;105;121
34;106;121
34;106;121
34;106;121
34;107;122
34;107;123
34;106;122
33;104;120
34;105;120
34;104;119
33;102;117
33;102;117
32;101;115
33;101;116
32;100;116
32;100;116
32;101;117
32;101;117
33;102;118
33;103;118
32;102;117
33;102;117
33;101;117
32;101;117
32;101;116
32;101;116
32;101;116
33;102;118
33;102;118
33;103;119
34;105;121
34;106;122
34;106;122
33;105;121
33;105;121
33;105;120
33;105;120
33;105;120
33;105;120
32;104;120
34;105;121
33;105;121
34;105;121
35;107;123
35;107;123
35;107;123
34;107;123
36;109;125
36;109;125
35;110;126
35;110;126
35;110;127
35;109;125
34;108;124
34;107;124
35;108;124
35;108;124
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
35;109;125
35;109;125
34;107;123
34;107;123
34;107;123
35;109;126
35;109;126
35;110;127
34;110;126
36;112;128
35;111;127
35;111;127
