R;G;B
41;130;37
41;131;38
42;131;38
41;131;38
41;131;37
41;131;38
41;131;38
41;131;38
40;130;37
42;132;38
42;132;38
42;131;38
42;132;38
42;131;38
42;131;38
42;131;38
41;131;38
42;131;38
41;130;38
41;130;38
42;130;38
42;130;38
41;129;37
41;129;38
41;129;38
41;129;38
42;129;38
40;127;37
40;127;37
41;127;37
41;127;37
40;126;37
40;126;37
40;126;38
40;125;37
40;125;37
40;126;38
40;126;38
41;126;37
41;126;37
41;126;37
40;125;37
40;125;37
40;125;37
40;125;37
41;126;38
40;126;38
40;126;37
40;127;37
40;127;37
41;128;38
41;128;38
41;129;38
41;128;37
41;128;37
41;128;37
41;129;38
41;129;38
41;129;37
41;129;37
41;130;38
41;130;38
42;130;38
41;130;38
42;130;38
42;130;38
42;130;38
42;130;38
41;129;37
41;129;37
41;130;38
41;130;38
41;130;38
41;129;37
41;129;37
42;131;38
41;130;38
41;130;38
41;130;37
41;131;38
41;131;38
41;130;38
41;130;38
42;130;38
41;129;37
41;129;37
41;129;37
41;129;37
42;131;38
41;130;38
41;130;38
41;130;38
42;131;38
41;130;37
42;132;39
41;131;38
41;131;38
42;131;38
42;131;38
41;131;38
41;131;38
41;132;38
41;132;38
42;132;39
41;132;38
41;132;38
41;132;38
42;132;39
42;132;38
41;132;38
41;131;38
42;131;38
42;132;38
42;132;38
42;132;38
42;132;38
42;131;38
42;132;39
42;132;39
42;132;38
42;131;38
42;132;39
42;132;39
42;132;39
42;132;38
42;132;39
42;133;39
42;133;39
42;133;39
43;134;39
43;134;39
42;133;39
43;133;39
43;133;39
42;133;38
42;134;38
43;134;39
42;134;39
42;134;39
42;134;39
42;134;39
42;134;38
42;134;38
42;134;37
42;134;37
42;135;38
42;135;37
42;135;37
42;134;36
42;135;37
42;135;37
42;135;37
41;135;37
41;135;36
42;135;37
42;135;37
41;135;37
41;134;37
41;133;37
41;133;37
41;133;38
41;132;37
41;132;38
41;132;38
41;131;38
41;131;38
41;131;38
41;132;39
42;131;39
42;131;39
41;131;39
41;131;39
41;131;39
41;131;39
42;130;39
42;131;39
43;130;39
43;130;39
43;130;40
43;130;39
42;130;39
42;130;39
43;130;39
42;130;39
42;129;39
42;129;39
42;129;39
42;129;39
41;128;37
41;129;38
41;129;38
42;128;38
42;128;38
41;128;37
40;128;37
41;128;37
40;127;36
41;128;37
40;127;37
40;126;37
40;126;37
39;126;36
39;126;36
39;126;36
39;126;36
40;126;37
39;126;37
41;126;37
40;126;37
40;126;37
41;126;37
40;125;37
41;126;38
40;126;37
40;126;38
40;125;37
40;125;37
40;125;37
41;126;38
40;125;37
40;125;37
