R;G;B
36;34;30
36;34;30
38;36;32
37;35;30
38;35;31
37;35;30
37;35;30
37;35;30
36;34;29
37;34;30
37;34;30
35;33;29
35;33;29
35;33;29
35;32;28
35;33;29
35;33;29
35;32;28
33;31;27
34;33;29
33;32;28
34;32;28
33;31;27
33;31;27
33;32;28
33;31;27
33;31;28
33;31;28
33;31;28
33;31;27
33;31;27
33;31;27
33;31;28
33;31;28
33;31;28
33;31;27
33;31;27
33;31;28
33;32;28
34;31;28
33;31;28
33;31;28
34;32;28
34;32;28
34;32;28
33;32;28
33;32;28
33;32;28
34;33;28
34;33;28
34;32;29
35;32;28
35;33;29
35;33;29
35;33;29
35;33;29
35;33;29
35;34;29
36;34;29
36;34;29
35;33;28
36;34;29
36;34;29
37;34;30
37;34;30
37;34;30
37;35;30
37;35;30
37;35;30
37;35;30
37;36;31
37;36;31
37;35;31
37;35;31
38;36;31
38;36;31
37;35;31
37;36;31
37;36;31
37;35;31
37;35;31
37;35;31
37;35;31
37;35;31
39;37;32
39;37;32
38;36;31
39;37;32
40;38;33
39;37;33
39;38;33
39;37;32
39;37;32
40;38;33
39;38;32
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
41;38;33
41;39;33
40;38;34
40;38;33
41;38;33
41;38;33
40;38;32
40;39;33
40;39;33
40;38;33
41;39;33
40;38;33
40;38;33
40;39;33
41;39;33
41;38;33
40;38;33
40;38;33
40;39;33
41;39;34
41;39;33
41;39;33
41;38;33
41;38;33
41;38;33
41;38;33
40;38;33
40;39;33
40;39;33
41;39;34
41;39;33
41;39;33
40;38;33
41;38;33
41;38;33
41;38;33
40;38;33
40;38;33
41;39;33
41;39;33
41;38;33
40;38;33
41;38;33
41;38;33
41;38;33
40;39;33
41;38;33
41;39;33
41;39;33
41;39;34
41;39;33
40;38;32
41;39;33
41;39;34
41;39;33
41;39;33
41;39;33
41;39;34
42;40;34
41;39;33
41;39;33
41;39;33
42;39;33
42;40;34
41;40;34
42;39;34
41;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;40;34
42;40;34
42;40;34
42;40;34
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
42;40;34
42;40;34
43;40;34
42;40;34
42;40;34
43;40;34
42;41;35
43;41;34
