R;G;B
54;17;13
53;16;12
54;16;14
54;17;14
55;18;14
54;19;14
55;20;14
54;19;13
53;18;13
53;19;13
54;19;13
54;19;13
51;18;12
52;18;13
50;17;11
50;16;11
50;17;11
50;17;11
50;16;11
50;16;11
50;17;11
51;17;12
51;16;12
52;16;13
51;16;12
52;17;13
53;18;13
53;19;14
52;18;14
52;17;12
53;18;13
52;17;12
50;16;13
50;16;12
50;16;12
50;15;12
49;16;11
49;15;12
48;15;12
49;15;12
45;13;9
45;13;9
41;13;9
40;12;8
41;13;9
40;12;9
37;11;9
36;11;9
35;11;9
35;11;9
35;10;8
31;8;7
31;9;8
30;7;6
31;8;7
29;8;7
29;8;7
30;9;7
30;9;7
27;7;6
27;7;6
27;7;6
26;7;6
26;7;6
26;7;6
26;7;6
25;6;6
25;6;6
23;6;5
24;6;5
24;6;5
22;6;4
23;6;5
22;6;4
23;6;6
22;6;5
22;5;5
22;5;5
22;5;5
22;5;4
23;6;5
22;5;5
22;5;4
21;5;3
23;6;5
23;6;5
24;7;5
23;6;5
23;6;5
24;7;6
24;7;6
23;6;5
23;6;5
24;7;5
24;7;5
24;7;5
23;6;5
23;5;5
23;5;5
23;5;4
22;6;5
22;6;5
23;6;5
23;6;5
21;5;4
21;5;4
22;5;4
23;6;5
23;6;5
22;6;5
21;5;4
22;5;5
21;5;4
22;6;5
22;5;5
22;6;5
22;6;5
21;6;5
21;6;5
21;6;5
22;6;5
20;5;4
21;6;5
21;6;5
21;5;4
21;6;5
20;5;4
21;5;5
21;5;5
22;6;5
22;6;5
23;6;5
22;6;5
23;7;6
22;6;5
22;6;5
22;5;5
23;6;5
22;6;5
21;5;4
23;6;5
22;5;3
23;7;5
24;7;6
23;5;4
23;6;5
23;6;5
24;7;6
24;7;6
24;6;5
24;6;5
24;6;5
25;6;6
26;8;6
26;7;6
26;7;6
27;7;6
26;7;5
26;7;5
28;7;5
29;8;7
28;7;6
30;8;6
30;8;6
30;8;7
30;8;7
30;9;8
30;9;7
33;9;8
33;9;8
34;10;8
34;9;7
34;9;7
39;11;9
41;12;10
41;12;10
42;12;10
42;12;10
45;14;10
46;14;10
46;14;10
47;15;10
48;16;10
48;16;10
50;16;10
51;17;11
51;18;12
51;17;11
52;17;11
52;17;11
52;17;11
53;18;12
53;18;12
56;20;14
55;18;12
56;19;13
56;19;13
56;19;13
55;19;12
55;19;13
55;19;13
54;18;12
55;19;12
55;19;12
55;19;13
55;20;13
54;18;12
54;18;12
54;18;12
54;19;13
54;19;13
54;19;12
53;19;12
54;19;12
54;19;12
54;19;12
52;18;11
53;19;11
53;18;11
53;18;11
53;18;11
54;19;12
54;19;12
52;17;10
52;17;10
52;17;10
52;17;10
54;19;12
54;19;12
53;18;11
52;17;10
53;18;11
54;18;12
53;18;11
54;18;11
54;18;12
53;18;12
53;18;12
54;18;12
54;18;12
54;18;12
54;17;11
54;17;11
55;18;13
54;17;12
54;17;12
54;17;12
55;18;13
55;18;13
55;18;13
54;17;12
55;18;13
55;18;13
55;18;13
55;17;13
55;17;13
54;17;12
54;17;12
53;15;12
54;16;12
54;16;13
54;16;13
55;16;13
55;16;13
55;17;14
55;17;14
54;16;13
54;16;13
54;16;13
56;17;14
56;17;14
56;17;14
55;16;14
55;16;13
55;16;13
55;16;13
55;16;13
55;16;13
55;16;13
56;16;13
57;17;15
57;17;14
56;17;14
56;17;14
57;18;14
57;18;15
57;18;15
56;17;14
56;17;14
57;18;14
57;18;14
57;19;14
58;19;14
58;19;14
57;19;14
56;18;13
57;19;14
57;19;14
57;19;14
57;19;13
57;19;13
56;19;13
56;18;12
56;18;13
56;18;13
55;17;12
56;19;13
55;17;12
57;18;14
55;16;12
55;16;12
57;18;13
57;18;13
57;18;13
56;17;13
58;18;14
58;18;14
58;18;14
58;18;14
58;18;14
58;18;14
58;18;14
58;19;14
58;19;14
58;18;14
58;18;14
58;18;14
58;18;14
57;18;13
57;19;14
57;19;14
56;18;13
55;18;12
55;18;12
55;18;13
55;18;13
54;18;12
54;18;12
53;17;11
53;17;11
55;17;13
55;17;13
56;18;14
55;17;14
56;17;14
57;18;16
57;18;16
58;18;16
58;18;16
57;17;15
57;17;15
57;18;15
58;19;15
57;18;14
58;19;14
57;19;14
57;19;14
57;19;13
57;20;14
57;20;14
57;20;14
59;20;14
59;20;14
60;21;15
60;21;14
60;21;14
60;21;14
60;21;14
60;22;14
60;22;14
60;21;15
60;21;15
61;21;15
61;21;15
61;21;15
61;21;15
60;21;15
60;21;15
59;20;14
58;19;14
58;19;14
57;19;15
57;20;15
57;19;14
55;19;14
55;18;13
55;18;13
55;18;13
55;17;14
55;18;13
55;19;14
54;17;12
54;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
57;18;14
57;18;14
56;17;13
57;19;14
57;19;14
56;20;13
57;20;13
56;19;14
56;18;14
56;18;14
55;18;14
55;18;13
54;17;12
52;16;10
54;18;13
54;17;13
54;17;13
55;18;14
55;18;13
55;18;14
57;18;15
58;19;16
60;19;16
60;19;15
59;18;14
59;18;13
59;18;13
61;17;13
61;17;13
62;17;14
62;17;15
63;19;17
63;19;17
65;21;18
64;21;17
64;21;17
65;24;17
65;24;17
64;23;16
63;23;15
61;22;14
61;22;14
60;21;14
60;20;13
58;19;13
58;19;13
58;19;13
58;18;14
58;18;14
59;18;14
59;19;15
60;20;16
60;20;16
60;20;16
59;19;15
59;19;15
59;19;15
59;19;15
60;19;15
60;19;14
60;19;14
60;20;15
60;20;15
60;20;15
60;20;14
60;20;14
60;20;14
60;20;14
61;20;15
61;20;16
60;20;16
61;20;16
61;20;16
61;20;16
61;20;16
61;20;16
62;20;16
61;19;15
62;20;16
62;20;16
61;20;16
61;20;16
61;19;15
61;19;15
60;19;15
